Date,Function,Metric,Value
2023-03-01,Zscaler,Order in Progress - MRC,0.0
2023-04-01,AT&T,Billed Revenue,0.0
2023-04-01,AT&T,Monthly WIN - MRC,0.0
2023-04-01,AT&T,Monthly WIN - TCV,0.0
2023-04-01,AT&T,Order in Progress - MRC,0.0
2023-04-01,Emily's channel,Billed Revenue,0.0
2023-04-01,Emily's channel,Monthly WIN - MRC,0.0
2023-04-01,Emily's channel,Monthly WIN - TCV,0.0
2023-04-01,Emily's channel,Order in Progress - MRC,0.0
2023-04-01,IPA,Billed Revenue,13537519.0
2023-04-01,IPA,Monthly WIN - MRC,115814.0
2023-04-01,IPA,Monthly WIN - TCV,1747107.0
2023-04-01,IPA,Order in Progress - MRC,357101.0
2023-04-01,MNC,Billed Revenue,6612752.0
2023-04-01,MNC,Monthly WIN - MRC,407655.0
2023-04-01,MNC,Monthly WIN - TCV,12161548.0
2023-04-01,MNC,Order in Progress - MRC,467196.0
2023-04-01,Maggie's team,Billed Revenue,2329302.0
2023-04-01,Maggie's team,Monthly WIN - MRC,8128.0
2023-04-01,Maggie's team,Monthly WIN - TCV,108296.0
2023-04-01,Maggie's team,Order in Progress - MRC,21224.0
2023-04-01,Sherry's team,Billed Revenue,1591139.0
2023-04-01,Sherry's team,Monthly WIN - MRC,148245.0
2023-04-01,Sherry's team,Monthly WIN - TCV,3237216.0
2023-04-01,Sherry's team,Order in Progress - MRC,149143.0
2023-04-01,Zscaler,Billed Revenue,0.0
2023-04-01,Zscaler,Monthly WIN - MRC,0.0
2023-04-01,Zscaler,Monthly WIN - TCV,0.0
2023-04-01,Zscaler,Order in Progress - MRC,0.0
2023-05-01,AT&T,Billed Revenue,0.0
2023-05-01,AT&T,Monthly WIN - MRC,0.0
2023-05-01,AT&T,Monthly WIN - TCV,0.0
2023-05-01,AT&T,Order in Progress - MRC,0.0
2023-05-01,Emily's channel,Billed Revenue,0.0
2023-05-01,Emily's channel,Monthly WIN - MRC,0.0
2023-05-01,Emily's channel,Monthly WIN - TCV,0.0
2023-05-01,Emily's channel,Order in Progress - MRC,0.0
2023-05-01,IPA,Billed Revenue,13066522.0
2023-05-01,IPA,Monthly WIN - MRC,168759.0
2023-05-01,IPA,Monthly WIN - TCV,3720012.0
2023-05-01,IPA,Order in Progress - MRC,220255.0
2023-05-01,MNC,Billed Revenue,6726490.0
2023-05-01,MNC,Monthly WIN - MRC,197506.0
2023-05-01,MNC,Monthly WIN - TCV,3526539.0
2023-05-01,MNC,Order in Progress - MRC,205414.0
2023-05-01,Maggie's team,Billed Revenue,2539961.0
2023-05-01,Maggie's team,Monthly WIN - MRC,35629.0
2023-05-01,Maggie's team,Monthly WIN - TCV,88844.0
2023-05-01,Maggie's team,Order in Progress - MRC,35256.0
